catalogNumber,scientificName,UTM100X100M,UTM10X10Km,verbatimCoordinates,FECHA,countryCode,stateProvince,verbatimLocality,basisOfRecord,occurrenceID,institutionCode,collectionCode,recordedBy,eventDate,year,month,day,habitat,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters
33836,Colpomenia peregrina (Sauvageau) Hamel,XXX,,,2014-10-10,ES,C,"La Coruña: Pta. Cabalar, Lira, Carnota",PreservedSpecimen,SANT:SANT-Algae:33836-A,,,,,,,,,,,,,,,
33813,Colpomenia peregrina (Sauvageau) Hamel,29TNH937324,,29TNH937324,2014-08-11,ES,C,"A Coruña: Monte Louro, Muros, Ría de Muros e Noia",PreservedSpecimen,SANT:SANT-Algae:33813-A,,,,,,,,,,,,,,,
33811,Colpomenia peregrina (Sauvageau) Hamel,29TMH975273,29TMH92,29TMH975273,2014-09-11,ES,C,"A Coruña: Punta Castro, Baroña, Porto do Son, Ría de Muros e Noia",PreservedSpecimen,SANT:SANT-Algae:33811-A,,,,,,,,,,,,,,,
33741,Colpomenia peregrina (Sauvageau) Hamel,29TNH104967,,29TNH104967,2014-08-13,ES,C,"A Coruña: Barizo, Malpica",PreservedSpecimen,SANT:SANT-Algae:33741-A,,,,,,,,,,,,,,,
33721,Colpomenia peregrina (Sauvageau) Hamel,29TMH814545,29TMH85,29TMH814545,2014-08-14,ES,C,"A Coruña: Punta Arnela, Ensenada de O Sardiñeiro, Fisterra",PreservedSpecimen,SANT:SANT-Algae:33721-A,,,,,,,,,,,,,,,
33051,Colpomenia peregrina (Sauvageau) Hamel,29TPJ122387,,29TPJ122387,2018-07-19,ES,LU,"Lugo: Ría de Viveiro, Fachada Oeste, O Cargadeiro",PreservedSpecimen,SANT:SANT-Algae:33051-A,,,,,,,,,,,,,,,
32898,Colpomenia peregrina (Sauvageau) Hamel,29TNH103963,,29TNH103963,2017-04-25,ES,C,"A Coruña: As Garzas, Barizo, Malpica",PreservedSpecimen,SANT:SANT-Algae:32898-A,,,,,,,,,,,,,,,
32884,Colpomenia peregrina (Sauvageau) Hamel,29TNH103963,,29TNH103963,2017-05-29,ES,C,"A Coruña: As Garzas, Barizo, Malpica",PreservedSpecimen,SANT:SANT-Algae:32884-A,,,,,,,,,,,,,,,
32588,Colpomenia peregrina (Sauvageau) Hamel,29TNJ444027,,29TNJ444027,2018-05-23,ES,C,"A Coruña: Al sur de Illa do Valdabal, Islas de San Pedro, A Coruña",PreservedSpecimen,SANT:SANT-Algae:32588-A,,,,,,,,,,,,,,,
32469,Colpomenia peregrina (Sauvageau) Hamel,29TNJ444027,,29TNJ444027,2018-05-23,ES,C,"A Coruña: Al sur de Illa do Valdabal, Islas de San Pedro, A Coruña",PreservedSpecimen,SANT:SANT-Algae:32469-A,,,,,,,,,,,,,,,
32405,Colpomenia peregrina (Sauvageau) Hamel,29TPJ054450,,29TPJ054450,2017-05-30,ES,C,"A Coruña: Castro pequeño al sur de Playa Vilela, Mañón, Ría do Barqueiro",PreservedSpecimen,SANT:SANT-Algae:32405-A,,,,,,,,,,,,,,,
32331,Colpomenia peregrina (Sauvageau) Hamel,29TNG084737,,29TNG084737,2017-07-11,ES,PO,"Pontevedra: Ría de Vigo, Islas Cíes, Islote Viños",PreservedSpecimen,SANT:SANT-Algae:32331-A,,,,,,,,,,,,,,,
32261,Colpomenia peregrina (Sauvageau) Hamel,29TNG083747,,29TNG083747,2017-05-05,ES,PO,"Pontevedra: Ría de Vigo, Islas Cíes, Piedra O Borrón",PreservedSpecimen,SANT:SANT-Algae:32261-A,,,,,,,,,,,,,,,
32151,Colpomenia peregrina (Sauvageau) Hamel,29TNG146812,,29TNG146812,2015-06-17,ES,PO,"Pontevedra: Playa puerto Aldán, Cangas, Ría de Aldán",PreservedSpecimen,SANT:SANT-Algae:32151-A,,,,,,,,,,,,,,,
32054,Colpomenia peregrina (Sauvageau) Hamel,29TNG146655,,29TNG146655,2016-07-06,ES,PO,"Pontevedra: Panxón, Nigrán, Ría de Baiona",PreservedSpecimen,SANT:SANT-Algae:32054-A,,,,,,,,,,,,,,,
32028,Colpomenia peregrina (Sauvageau) Hamel,29TNJ497019,,29TNJ497019,2017-03-27,ES,C,"A Coruña: San Antón, A Coruña, Ría de A Coruña",PreservedSpecimen,SANT:SANT-Algae:32028-A,,,,,,,,,,,,,,,
32004,Colpomenia peregrina (Sauvageau) Hamel,29TNJ530043,,29TNJ530043,2017-03-28,ES,C,"A Coruña: Cala de Canabal, Oleiros, Ría de A Coruña",PreservedSpecimen,SANT:SANT-Algae:32004-A,,,,,,,,,,,,,,,
31881,Colpomenia peregrina (Sauvageau) Hamel,29TNH134037,,29TNH134037,2015-07-03,ES,PO,"Pontevedra: Beiro, Isla de A Toxa, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:31881-A,,,,,,,,,,,,,,,
30814,Colpomenia peregrina (Sauvageau) Hamel,29TNG088751,,29TNG088751,2016-05-20,ES,PO,"Pontevedra: Ría de Vigo, Islas Cíes, TR7, Punta Muxieiro",PreservedSpecimen,SANT:SANT-Algae:30814-A,,,,,,,,,,,,,,,
30749,Colpomenia peregrina (Sauvageau) Hamel,29TNG083739,,29TNG083739,2016-05-05,ES,PO,"Pontevedra: Ría de Vigo, Islas Cíes, TR5, Punta das Vellas",PreservedSpecimen,SANT:SANT-Algae:30749-A,,,,,,,,,,,,,,,
30682,Colpomenia peregrina (Sauvageau) Hamel,29TNG079735,,29TNG079735,2016-06-07,ES,PO,"Pontevedra: Ría de Vigo, Islas Cíes, TR4, al nordeste de Punta Carracido",PreservedSpecimen,SANT:SANT-Algae:30682-A,,,,,,,,,,,,,,,
30627,Colpomenia peregrina (Sauvageau) Hamel,29TNG083747,,29TNG083747,2016-05-05,ES,PO,"Pontevedra: Ría de Vigo, Islas Cíes, Piedra O Borrón",PreservedSpecimen,SANT:SANT-Algae:30627-A,,,,,,,,,,,,,,,
28539,Colpomenia peregrina (Sauvageau) Hamel,29TNJ583127,,29TNJ583127,2013-05-23,ES,C,"A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol",PreservedSpecimen,SANT:SANT-Algae:28539-A,,,,,,,,,,,,,,,
26502,Colpomenia peregrina (Sauvageau) Hamel,29TNH000043,,29TNH000043,2011-08-05,ES,C,"A Coruña: Este de Isla Sálvora, Ribeira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:26502-A,,,,,,,,,,,,,,,
23672,Colpomenia peregrina (Sauvageau) Hamel,29TNH073090,,29TNH073090,2005-08-30,ES,PO,"Pontevedra: Islote Corveiro, O Grove, ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:23672-A,,,,,,,,,,,,,,,
23532,Colpomenia peregrina (Sauvageau) Hamel,29TNH085048,,29TNH085048,2004-06-04,ES,PO,"Pontevedra: Al norte del Grove, O Grove, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:23532-A,,,,,,,,,,,,,,,
23430,Colpomenia peregrina (Sauvageau) Hamel,29TNG082621,29TNG06,29TNG082621,2004-03-08,ES,PO,"Pontevedra: Cabo Silleiro, Baiona",PreservedSpecimen,SANT:SANT-Algae:23430-A,,,,,,,,,,,,,,,
23087,Colpomenia peregrina (Sauvageau) Hamel,29TNH823545,,29TNH823545,2005-03-11,ES,C,"A Coruña: Playa de Estorde, Seno de corcubión, Corcubión",PreservedSpecimen,SANT:SANT-Algae:23087-A,,,,,,,,,,,,,,,
22720,Colpomenia peregrina (Sauvageau) Hamel,29TNJ914435,,29TNJ914435,2002-03-28,ES,C,"A Coruña: O Peirao, Cariño, Ortigueira, Ría de Ortigueira,",PreservedSpecimen,SANT:SANT-Algae:22720-A,,,,,,,,,,,,,,,
22581,Colpomenia peregrina (Sauvageau) Hamel,29TNH030131,,29TNH030131,2004-01-23,ES,C,"A Coruña: Punta Insuela, Riveira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:22581-A,,,,,,,,,,,,,,,
22061,Colpomenia peregrina (Sauvageau) Hamel,29TNH084128,,29TNH084128,2005-06-17,ES,PO,"Pontevedra: Cerca de punta Barbojeita, Illa de Arousa, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:22061-A,,,,,,,,,,,,,,,
20648,Colpomenia peregrina (Sauvageau) Hamel,29TNH103164,,29TNH103164,2006-05-11,ES,C,"A Coruña: Isla Benencia, Boiro, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:20648-A,,,,,,,,,,,,,,,
19158,Colpomenia peregrina (Sauvageau) Hamel,29TNH102958,,29TNH102958,2006-04-26,ES,C,"A Coruña: Playa de Barizo, Malpica",PreservedSpecimen,SANT:SANT-Algae:19158-A,,,,,,,,,,,,,,,
18554,Colpomenia peregrina (Sauvageau) Hamel,29TMH998041,,29TMH998041,2005-06-22,ES,C,"A Coruña: Oeste Isla de Noro, Sálvora, Ribeira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:18554-A,,,,,,,,,,,,,,,
18490,Colpomenia peregrina (Sauvageau) Hamel,29TMH995043,,29TMH995043,2005-06-22,ES,C,"A Coruña: Canal Curbina, Sur Isla Vionta, Ribeira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:18490-A,,,,,,,,,,,,,,,
18467,Colpomenia peregrina (Sauvageau) Hamel,29TMH993036,,29TMH993036,2005-06-22,ES,C,"A Coruña: Nordeste de Isla Sálvora, Ribeira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:18467-A,,,,,,,,,,,,,,,
18458,Colpomenia peregrina (Sauvageau) Hamel,29TNH002045,,29TNH002045,2003-11-10,ES,C,"A Coruña: Isla Erbosa, Sálvorra, Ribeira, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:18458-A,,,,,,,,,,,,,,,
18305,Colpomenia peregrina (Sauvageau) Hamel,29TNH103163,,29TNH103163,2006-05-11,ES,C,"A Coruña: Sur de Isla Benencia, Boiro, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:18305-A,,,,,,,,,,,,,,,
18235,Colpomenia peregrina (Sauvageau) Hamel,29TNG205783,,29TNG205783,2006-06-14,ES,PO,"Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo",PreservedSpecimen,SANT:SANT-Algae:18235-A,,,,,,,,,,,,,,,
17662,Colpomenia peregrina (Sauvageau) Hamel,29TPJ104420,,29TPJ104420,2006-01-31,ES,LU,"Lugo: Playa de San Román, O Vicedo, Ría de Viveiro",PreservedSpecimen,SANT:SANT-Algae:17662-A,,,,,,,,,,,,,,,
17374,Colpomenia peregrina (Sauvageau) Hamel,29TNJ597034,,29TNJ597034,2006-01-11,ES,C,"A Coruña: Ensenada de Lourido, Sada, ría de Betanzos",PreservedSpecimen,SANT:SANT-Algae:17374-A,,,,,,,,,,,,,,,
17164,Colpomenia peregrina (Sauvageau) Hamel,29TPJ227407,,29TPJ227407,2005-02-10,ES,LU,"Lugo: San Ciprián, Xove, playa Lago centro",PreservedSpecimen,SANT:SANT-Algae:17164-A,,,,,,,,,,,,,,,
16761,Colpomenia peregrina (Sauvageau) Hamel,29TNG205784,,29TNG205784,2005-07-07,ES,PO,"Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo",PreservedSpecimen,SANT:SANT-Algae:16761-A,,,,,,,,,,,,,,,
14387,Colpomenia peregrina (Sauvageau) Hamel,29TPJ472249,,29TPJ472249,2003-03-20,ES,LU,"Lugo: Punta del Castro, Barreiros",PreservedSpecimen,SANT:SANT-Algae:14387-A,,,,,,,,,,,,,,,
14216,Colpomenia peregrina (Sauvageau) Hamel,29TNJ495021,,29TNJ495021,2001-03-09,ES,C,"A Coruña: Escollera de la Solana, Puerto de A Coruña, A Coruña",PreservedSpecimen,SANT:SANT-Algae:14216-A,,,,,,,,,,,,,,,
13328,Colpomenia peregrina (Sauvageau) Hamel,29TNH196942,,29TNH196942,1998-10-05,ES,C,"A Coruña: Cambre, Malpica",PreservedSpecimen,SANT:SANT-Algae:13328-A,,,,,,,,,,,,,,,
13309,Colpomenia peregrina (Sauvageau) Hamel,29TNJ749345,,29TNJ749345,1999-02-18,ES,C,"A Coruña: Ría de Cedeira, Cedeira",PreservedSpecimen,SANT:SANT-Algae:13309-A,,,,,,,,,,,,,,,
11712,Colpomenia peregrina (Sauvageau) Hamel,29TNH067148,,29TNH067148,1999-09-14,ES,C,"A Coruña: Cabío, Pobra do Caramiñal, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:11712-A,,,,,,,,,,,,,,,
