basisOfRecord,catalogNumber,collectionCode,coordinateUncertaintyInMeters,countryCode,county,day,decimalLatitude,decimalLongitude,eventDate,habitat,institutionCode,locality,month,municipality,occurrenceID,recordedBy,scientificName,stateProvince,utm100x100m,utm10x10km,verbatimCoordinates,verbatimElevation,verbatimLocality,year
PreservedSpecimen,33549,,,ES,,20,,,2020-05-20,,,,5,,SANT:SANT-Algae:33549-A,"C. Piñeiro -Corbeira, S. Barrientos & M. Garci",Anotrichium furcellatum (J. Agardh) Baldock,PO,XXX,,,,"Pontevedra: Islas Cíes, Furna (42º15'17.4''N 8º48'27.4''O)",2020
PreservedSpecimen,32983,,71,ES,,19,43.698394,-7.583387,2018-07-19,,,,7,,SANT:SANT-Algae:32983-A,A. García-Fernández & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ141393,,29TPJ141393,,"Lugo: Ría de Viveiro, Fachada Este, Insua de Area",2018
PreservedSpecimen,32963,,71,ES,,30,43.734962,-6.914467,2017-05-30,,,,5,,SANT:SANT-Algae:32963-A,A. García-Fernández & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ679445,,29TPJ679445,,"Lugo: Punta da Cova, O Vicedo, Ría do Barqueiro",2017
PreservedSpecimen,32407,,71,ES,,30,43.75099,-7.690208,2017-05-30,,,,5,,SANT:SANT-Algae:32407-A,A. García Fernández & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TPJ054450,,29TPJ054450,,"A Coruña: Castro pequeño al sur de Playa Vilela, Mañón, Ría do Barqueiro",2017
PreservedSpecimen,32204,,71,ES,,6,42.147357,-8.838429,2016-07-06,,,,7,,SANT:SANT-Algae:32204-A,"A. García-Fernández, I. Bárbara & V. García-Redondo",Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG133661,,29TNG133661,,"Pontevedra: Portocelo, al sur de Monte Ferro, Nigrán, Bahía de Bayona",2016
PreservedSpecimen,32126,,71,ES,,17,42.287856,-8.838071,2015-06-17,,,,6,,SANT:SANT-Algae:32126-A,"V. García Redondo, I. Bárbara & A. García Fernández",Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG133817,,29TNG133817,,"Pontevedra: Aldán Oeste, Castiñeiras, Cangas, Ría de Aldán",2015
PreservedSpecimen,32118,,71,ES,,21,43.711439,-7.477572,2015-07-21,,,,7,,SANT:SANT-Algae:32118-A,"V. García Redondo, I. Bárbara & A. García Fernández",Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ226409,,29TPJ226409,,"Lugo: San Ciprián, Xove, playa Lago",2015
PreservedSpecimen,32086,,71,ES,,8,43.742702,-7.674244,2015-05-08,,,,5,,SANT:SANT-Algae:32086-A,V. García Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ067441,,29TPJ067441,,"Lugo: Playa de Caolín, O Vicedo, Ría do Barqueiro",2015
PreservedSpecimen,32070,,71,ES,,6,42.147357,-8.838429,2016-07-06,,,,7,,SANT:SANT-Algae:32070-A,"V. García Redondo, I. Bárbara & A. García-Fernández",Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG133661,,29TNG133661,,"Pontevedra: Portocelo, al sur de Monte Ferro, Nigrán, Bahía de Bayona",2016
PreservedSpecimen,31913,,71,ES,,20,42.195032,-8.800761,2016-06-20,,,,6,,SANT:SANT-Algae:31913-A,V. García-Redondo &  I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG164714,,29TNG164714,,"Pontevedra: Puerto de Canido, Vigo, Ría de Vigo",2016
PreservedSpecimen,31876,,71,ES,,3,42.482394,-8.843653,2015-07-03,,,,7,,SANT:SANT-Algae:31876-A,V. García-Redondo &  I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNH128033,,29TNH128033,,"Pontevedra: Os Baños, Isla de A Toxa, ría de Arousa",2015
PreservedSpecimen,31752,,71,ES,,8,43.742702,-7.674244,2015-05-08,,,,5,,SANT:SANT-Algae:31752-A,V. García-Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ067441,,29TPJ067441,,"Lugo: Playa de Caolín, O Vicedo, Ría do Barqueiro",2015
PreservedSpecimen,30824,,71,ES,,20,42.228478,-8.892754,2016-05-20,,,,5,,SANT:SANT-Algae:30824-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG088751,,29TNG088751,,"Pontevedra: Ría de Vigo, Islas Cíes, TR7, Punta Muxieiro",2016
PreservedSpecimen,30786,,71,ES,,5,42.225781,-8.897606,2016-05-05,,,,5,,SANT:SANT-Algae:30786-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG084748,,29TNG084748,,"Pontevedra: Ría de Vigo, Islas Cíes, TR6, Playa de Areiña",2016
PreservedSpecimen,30261,,71,ES,,14,43.465387,-8.278655,2015-10-14,,,,10,,SANT:SANT-Algae:30261-A,V. García-Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ583127,,29TNJ583127,,"A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol",2015
PreservedSpecimen,30133,,71,ES,,16,43.465387,-8.278655,2015-04-16,,,,4,,SANT:SANT-Algae:30133-A,V. García-Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ583127,,29TNJ583127,,"A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol",2015
PreservedSpecimen,29447,,71,ES,,19,43.455591,-8.296076,2015-03-19,,,,3,,SANT:SANT-Algae:29447-A,V. García-Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ569116,,29TNJ569116,,"A Coruña: Ría de Ferrol, Piedra de la Reina, Ares",2015
PreservedSpecimen,29382,,71,ES,,27,43.465387,-8.278655,2015-01-27,,,,1,,SANT:SANT-Algae:29382-A,V. García-Redondo & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ583127,,29TNJ583127,,"A Coruña: Castillo de San Felipe, Ferrol, Ría de Ferrol",2015
